task,variant,seed,final_success_rate,steps_to_0.8,steps_to_0.5,steps_to_0.25
button-press-v3,demo-priority,0,1.0,40000.0,40000.0,40000.0
button-press-v3,demo-priority,1,1.0,40000.0,40000.0,40000.0
button-press-v3,demo-priority,2,1.0,20000.0,20000.0,20000.0
button-press-v3,demo-priority,3,1.0,30000.0,30000.0,10000.0
button-press-v3,demo-priority,4,1.0,30000.0,30000.0,20000.0
button-press-v3,demo-replay,0,1.0,40000.0,40000.0,40000.0
button-press-v3,demo-replay,1,1.0,40000.0,40000.0,40000.0
button-press-v3,demo-replay,2,1.0,20000.0,20000.0,20000.0
button-press-v3,demo-replay,3,1.0,30000.0,30000.0,10000.0
button-press-v3,demo-replay,4,1.0,30000.0,30000.0,20000.0
button-press-v3,per,0,0.0,,,
button-press-v3,per,1,0.0,,,
button-press-v3,per,2,1.0,150000.0,150000.0,130000.0
button-press-v3,per,3,1.0,120000.0,110000.0,110000.0
button-press-v3,per,4,1.0,370000.0,350000.0,350000.0
button-press-v3,uniform,0,0.0,,,
button-press-v3,uniform,1,0.0,,,
button-press-v3,uniform,2,1.0,80000.0,70000.0,60000.0
button-press-v3,uniform,3,0.0,,480000.0,480000.0
button-press-v3,uniform,4,0.0,,,
drawer-open-v3,demo-priority,0,1.0,100000.0,100000.0,80000.0
drawer-open-v3,demo-priority,1,1.0,240000.0,240000.0,110000.0
drawer-open-v3,demo-priority,2,1.0,240000.0,240000.0,80000.0
drawer-open-v3,demo-priority,3,1.0,120000.0,110000.0,60000.0
drawer-open-v3,demo-priority,4,1.0,180000.0,120000.0,70000.0
drawer-open-v3,demo-replay,0,1.0,100000.0,100000.0,80000.0
drawer-open-v3,demo-replay,1,1.0,240000.0,240000.0,110000.0
drawer-open-v3,demo-replay,2,1.0,240000.0,240000.0,80000.0
drawer-open-v3,demo-replay,3,1.0,120000.0,110000.0,60000.0
drawer-open-v3,demo-replay,4,1.0,180000.0,120000.0,70000.0
drawer-open-v3,per,0,1.0,420000.0,370000.0,300000.0
drawer-open-v3,per,1,1.0,380000.0,250000.0,250000.0
drawer-open-v3,per,2,1.0,400000.0,330000.0,330000.0
drawer-open-v3,per,3,0.4,,,470000.0
drawer-open-v3,per,4,0.7,300000.0,270000.0,270000.0
drawer-open-v3,uniform,0,1.0,410000.0,400000.0,400000.0
drawer-open-v3,uniform,1,0.0,,,
drawer-open-v3,uniform,2,0.0,,,
drawer-open-v3,uniform,3,0.9,500000.0,450000.0,430000.0
drawer-open-v3,uniform,4,0.0,,,
sweep-into-v3,demo-priority,0,0.0,260000.0,90000.0,30000.0
sweep-into-v3,demo-priority,1,0.8,100000.0,100000.0,70000.0
sweep-into-v3,demo-priority,2,0.8,280000.0,160000.0,70000.0
sweep-into-v3,demo-priority,3,0.0,130000.0,80000.0,50000.0
sweep-into-v3,demo-priority,4,0.0,190000.0,150000.0,70000.0
sweep-into-v3,demo-replay,0,0.0,260000.0,90000.0,30000.0
sweep-into-v3,demo-replay,1,0.8,100000.0,100000.0,70000.0
sweep-into-v3,demo-replay,2,0.8,280000.0,160000.0,70000.0
sweep-into-v3,demo-replay,3,0.0,130000.0,80000.0,50000.0
sweep-into-v3,demo-replay,4,0.0,190000.0,150000.0,70000.0
sweep-into-v3,per,0,0.0,,,
sweep-into-v3,per,1,0.2,,,
sweep-into-v3,per,2,0.0,,,
sweep-into-v3,per,3,0.6,,320000.0,320000.0
sweep-into-v3,per,4,0.7,300000.0,230000.0,200000.0
sweep-into-v3,uniform,0,0.0,,,
sweep-into-v3,uniform,1,0.0,,,
sweep-into-v3,uniform,2,0.0,,,
sweep-into-v3,uniform,3,0.0,,,
sweep-into-v3,uniform,4,0.9,220000.0,220000.0,180000.0
